Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
40,0.191899358537971,0.123368053332063,0.141271694474383,0.19549977706006,0.198522482957518,0.149438633638006,0,0.870590160798816,0.636393975462717
41,0.264332557309259,0.0139065672367139,0.190220923529079,0.281699085678519,0.194597198365066,0.0552436678813626,0,0.833737232395127,0.676061973765265
42,0.16089405277337,0.116410678785547,0.187759932189889,0.163917991060138,0.245578271956565,0.125439073234491,0,0.811899871964553,0.674042592945108
43,0.117606074759844,0.130964673309973,0.146241260065644,0.236349901782989,0.223705951385758,0.145132138695793,0,0.868138730555426,0.625528141850242
44,0.19008746357427,0.0454402988294632,0.148061616185936,0.362934649062073,0.179496485454765,0.0739794868934937,0,0.83947753280498,0.660394585239096
45,0.0837826809248088,0.0641481604141331,0.239884064312168,0.350029660569086,0.205370724077491,0.0567847097023127,0,0.825337654070335,0.671096754893313
46,0.15845273575813,0.165793613455046,0.114638643051984,0.215268875841822,0.170924538162614,0.174921593730404,0,0.886512880707066,0.621191457250017
47,0.205721841603882,0.114190551024678,0.20025344746236,0.283526893016183,0.137975676474605,0.0583315904182913,0,0.819953470158466,0.706483421324632
48,0.247190120268014,0.00526099655791668,0.300730291025734,0.120897576615389,0.229835645032812,0.0960853705001342,0,0.82825276668519,0.676821585064044
49,0.201297426742823,0,0.230619189554323,0.301115718706244,0.175908743644597,0.0910589213520129,0,0.829953097176532,0.679171592770734
50,0.190286694043361,0.11457373288014,0.127582716878189,0.27680603530685,0.200675569911544,0.090075250979916,0,0.880568215915293,0.64058107090204
51,0.150889074203238,0.112783883675974,0.114340451933821,0.387258648031127,0.173734182138803,0.0609937600170364,0,0.86297615523385,0.641367524182674
52,0.161362613241367,0.0924668524939414,0.211701843537676,0.21254443852767,0.187036905147192,0.134887347052153,0,0.868424237685571,0.651161045813722
53,0.173101032571593,0.161729366732508,0.13681295080923,0.256894814850688,0.143923981476955,0.127537853559027,0,0.878504886969258,0.655104103708969
54,0.235252725218288,0.0188231367593117,0.279731046381025,0.230631807201101,0.141613658709061,0.093947625731214,0,0.860727827645572,0.68209245587371
55,0.136469353827406,0.0158970112941254,0.255363639929543,0.247750544370966,0.253008883584113,0.0915105669938462,0,0.876640686447029,0.627903596363395
56,0.132859064901844,0.0854685497873262,0.196639484824768,0.257342685630757,0.179276489225046,0.148413725630258,0,0.893684822423087,0.621783449597589
57,0.0738066279168741,0.0347230718099084,0.308488567962842,0.260452185254891,0.18386737288586,0.138662174169624,0,0.862108341610176,0.646831996597335
58,0.155975512506898,0.0821426836127669,0.260320571922606,0.191491922896766,0.186291632526976,0.123777676533988,0,0.834704066571004,0.682462585199353
59,0.332954531643223,0,0.139472037846358,0.206499107107271,0.225495176418794,0.0955791469843536,0,0.842345902607839,0.64582203248786
60,0.20288650095081,0.0209225023190126,0.235107063338336,0.273037098197025,0.202229199812202,0.0658176353826133,0,0.863394415020669,0.661080586989965
61,0.19284689703365,0.111932091873979,0.187103333402675,0.221022797834453,0.21711417790595,0.0699807019492934,0,0.788295707713641,0.711048359547099
62,0.162772966141758,0.0581613322529826,0.238958919212496,0.263915244838593,0.140991221944483,0.135200315609687,0,0.865051886519375,0.66190285375511
63,0.106639522735167,0.0243807638178539,0.139673635823313,0.408009699354171,0.269900791367729,0.051395586901767,0,0.875664762527039,0.594188342295975
64,0.122150508490546,0.0776181910478719,0.232774616584389,0.260485805199636,0.232888703338464,0.0740821753390927,0,0.890219660091135,0.632415010493306
65,0.0881471752624852,0.0833581934448893,0.341325248275849,0.254641115716071,0.147564657444453,0.0849636098562532,0,0.83620625179043,0.697956700217562
